claim_id,rank,language,file_path,section,claim_type,current_text,suggested_source,status,notes
G00001,10th-kyu,base,src/data/graduations/10th-kyu.json,title,grading-title,THE WAY TO 10TH KYU,Compare with official grading syllabus title for this rank.,not reviewed,
G00002,10th-kyu,base,src/data/graduations/10th-kyu.json,requirements.classes,grading-requirement,classes: 16,Compare with official grading regulations and syllabus.,not reviewed,
G00003,10th-kyu,base,src/data/graduations/10th-kyu.json,requirements.months,grading-requirement,months: 2,Compare with official grading regulations and syllabus.,not reviewed,
G00004,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Jodan age uke (Upper rising block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00005,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Chudan (soto) yoko uke (Middle/out/side block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00006,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Gedan harai uke / gedan barai (Lower sweeping block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00007,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Seiken zuki (Proper fist punch),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00008,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Mae geri (Front kick),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00009,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Kihon Waza (Basic Techniques),grading-technique,Mawashi geri (Roundhouse kick),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00010,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Tachi Kata (Stances),grading-technique,Musubi dachi (Ready stance),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00011,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Tachi Kata (Stances),grading-technique,Heiko dachi (Parallel stance),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00012,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Tachi Kata (Stances),grading-technique,Zenkutsu dachi (Front stance),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00013,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Unsoku Ho (Foot Work),grading-technique,Zenkutsu dachi,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00014,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Makiwara (Focus pad),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00015,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,O gyaku zuki (Reverse punch),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00016,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,O mae geri (Front kick),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00017,10th-kyu,base,src/data/graduations/10th-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,O mawashi geri (Roundhouse kick),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00018,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Onegai shimasu = Please teach/help me,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00019,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Arigato gozaimashita = Thank you for teaching/helping me,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00020,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Sayonara = Good bye,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00021,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Sensei = Teacher/instructor,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00022,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Senpai = Senior students,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00023,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Kohai = Junior students,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00024,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,"Hai Sensei = Yes, teacher",Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00025,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Karate = Literally means empty hands,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00026,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Dojo = Martial arts school,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00027,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Gi/dogi = Training uniform,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00028,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,Obi = Belt,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00029,10th-kyu,base,src/data/graduations/10th-kyu.json,knowledge,terminology-knowledge,"Jodan, chudan, gedan = Upper level, middle level, lower level",Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00030,10th-kyu,base,src/data/graduations/10th-kyu.json,history,history,"Karate came from Okinawa, Japan",Compare with history sources and lineage-specific source material.,not reviewed,
G00031,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,title,grading-title,DE WEG NAAR 10E KYU,Compare with official grading syllabus title for this rank.,not reviewed,
G00032,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,requirements.classes,grading-requirement,classes: 16,Compare with official grading regulations and syllabus.,not reviewed,
G00033,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,requirements.months,grading-requirement,months: 2,Compare with official grading regulations and syllabus.,not reviewed,
G00034,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Jodan age uke (Bovenste opstekende blok),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00035,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Chudan (soto) yoko uke (Middelste buitenste zijblok),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00036,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Gedan harai uke / gedan barai (Onderste veegblok),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00037,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Seiken zuki (Juiste vuiststoot),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00038,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Mae geri (Voorwaartse trap),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00039,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Kihon Waza (Basis Technieken),grading-technique,Mawashi geri (Ronde trap),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00040,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Tachi Kata (Stances),grading-technique,Musubi dachi (Gereedheidshouding),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00041,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Tachi Kata (Stances),grading-technique,Heiko dachi (Parallelle houding),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00042,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Tachi Kata (Stances),grading-technique,Zenkutsu dachi (Voorwaartse houding),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00043,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Unsoku Ho (Voetwerk),grading-technique,Zenkutsu dachi,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00044,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Makiwara (Focus pad),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00045,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,O gyaku zuki (Omgekeerde stoot),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00046,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,O mae geri (Voorwaartse trap),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00047,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,O mawashi geri (Ronde trap),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00048,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Onegai shimasu = Leer mij alstublieft/help mij,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00049,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Arigato gozaimashita = Dank u voor het onderwijzen/helpen,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00050,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Sayonara = Tot ziens,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00051,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Sensei = Leraar/instructeur,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00052,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Senpai = Senior studenten,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00053,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Kohai = Junior studenten,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00054,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,"Hai Sensei = Ja, leraar",Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00055,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Karate = Betekent letterlijk lege handen,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00056,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Dojo = Martial arts school,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00057,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Gi/dogi = Trainingsuniform,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00058,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,Obi = Band,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00059,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,knowledge,terminology-knowledge,"Jodan, chudan, gedan = Bovenste niveau, middelste niveau, onderste niveau",Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00060,10th-kyu,nl,src/data/graduations/10th-kyu.nl.json,history,history,"Karate kwam uit Okinawa, Japan",Compare with history sources and lineage-specific source material.,not reviewed,
G00061,1st-kyu,base,src/data/graduations/1st-kyu.json,title,grading-title,THE WAY TO 1ST KYU,Compare with official grading syllabus title for this rank.,not reviewed,
G00062,1st-kyu,base,src/data/graduations/1st-kyu.json,requirements.classes,grading-requirement,classes: 50,Compare with official grading regulations and syllabus.,not reviewed,
G00063,1st-kyu,base,src/data/graduations/1st-kyu.json,requirements.months,grading-requirement,months: 4,Compare with official grading regulations and syllabus.,not reviewed,
G00064,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kihon,grading-technique,Jodan haishu/haiwan age uke (Upper level back hand rising block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00065,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kihon,grading-technique,Chudan haishu/haiwan otoshi uke (Middle level back hand dropping block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00066,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Ido,grading-technique,Neko ashi dachi chudan haishu otoshi uke,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00067,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Ido,grading-technique,"Neko ashi dachi chudan hiki uke, mae ashi kin geri, zenkutsu dachi chudan gyaku zuki, neko ashi dachi chudan hiki uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00068,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Ido,grading-technique,"Neko ashi dachi chudan chudan, haishu otoshi uke, mae ashi kin geri, zenkutsu dachi chudan gyaku zuki, neko ashi dachi chudan haishu otoshi uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00069,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kata,grading-technique,Shisochin (Good kata),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00070,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kumite,grading-technique,"Basic block with partner – jodan haishu age uke, chudan haishu otoshi uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00071,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kumite,grading-technique,Sandan gi – neko ashi dachi open hand block,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00072,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Kumite,grading-technique,Niohn kumite (Two attacks sparring),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00073,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Kongo ken – chest & shoulder push,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00074,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Kongo ken – catch & push (Two men),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00075,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,"Ishi sashi – Shisochin, nukite zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00076,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Ishi sashi – Shisochin shotei zuki,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00077,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Ishi sashi – shiko dachi open and close,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00078,1st-kyu,base,src/data/graduations/1st-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Ishi sashi – bent over open & close,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00079,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Uchi deshi = Live-in Student,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00080,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Unsoku ho = Footwork,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00081,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Josokutei = Ball of the foot,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00082,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Kakato = Heel.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00083,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Sokuto = Sole / Edge of the foot,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00084,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Haisoku = Instep.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00085,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Tsumasaki = Toe tips,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00086,1st-kyu,base,src/data/graduations/1st-kyu.json,knowledge,terminology-knowledge,Kasokutei = Inner edge of foot,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00087,1st-kyu,base,src/data/graduations/1st-kyu.json,history,history,"Sensei Chojun Miyagi's childhood name was ""Machu""",Compare with history sources and lineage-specific source material.,not reviewed,
