language,term_path,issue_type,base_name,localized_name,base_japanese,localized_japanese,base_english,localized_english,notes
da,terminology.sections.blocks-content.terms.chudan-soto-uke,japanese-mismatch,Chudan Soto (Yoko) Uke,Chudan Soto (Yoko) Uke,中段外受け,外受け,Middle outside (side) block,Mellem udvendig blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.blocks-content.terms.chudan-uchi-uke,japanese-mismatch,Chudan Uchi Uke,Chudan Uchi Uke,中段内受け,内受け,Middle inside block,Mellem indvendig blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.blocks-content.terms.hari-uke,japanese-mismatch,Hari Uke,Hari Uke,ハリ受け,弓受け,Hari block,Bue og pil-blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.blocks-content.terms.jodan-age-uke,japanese-mismatch,Jodan Age Uke,Jodan Age Uke,上段上げ受け,上げ受け,High rising block,Høj opadgående blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.blocks-content.terms.jodan-soto-uke,japanese-mismatch,Jodan Soto (Yoko) Uke,Jodan Soto (Yoko) Uke,上段外受け,外受け,High outside (side) block,Høj udvendig blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.blocks-content.terms.jodan-uchi-uke,japanese-mismatch,Jodan Uchi (Yoko) Uke,Jodan Uchi (Yoko) Uke,上段内受け,内受け,High inside (side) block,Høj indvendig blokering,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.common-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform.,Træningsuniform,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Spanning en ontspanning,Empty fields: japanese
da,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin (Kimae),,,Directing force,Richten van kracht,Empty fields: japanese
da,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Explosie-kracht,Empty fields: japanese
da,terminology.sections.general-terms-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform,Træningsuniform,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.general-terms-content.terms.go-no-sen,japanese-mismatch,Go No Sen,Go No Sen,後の先,後の手,Taking initiative later,Initiatief later nemen,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.general-terms-content.terms.sen-no-sen,japanese-mismatch,Sen No Sen,Sen No Sen,先の先,先の手,Taking initiative,Initiatief nemen,Japanese/romanized term should usually remain stable across languages.
da,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Perfecte uitvoering,Empty fields: japanese
da,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi (Te No Omomi),,,Heavy hands,Zware handen,Empty fields: japanese
de,terminology.sections.blocks-content.terms.chudan-soto-uke,japanese-mismatch,Chudan Soto (Yoko) Uke,Chudan Soto (Yoko) Uke,中段外受け,外受け,Middle outside (side) block,Mittlerer Außenblock (seitlich),Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.blocks-content.terms.chudan-uchi-uke,japanese-mismatch,Chudan Uchi Uke,Chudan Uchi Uke,中段内受け,内受け,Middle inside block,Mittlerer Innenblock,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.blocks-content.terms.hari-uke,japanese-mismatch,Hari Uke,Hari Uke,ハリ受け,弓受け,Hari block,Bogenblock,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.blocks-content.terms.jodan-age-uke,japanese-mismatch,Jodan Age Uke,Jodan Age Uke,上段上げ受け,上げ受け,High rising block,Hoher steigender Block,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.blocks-content.terms.jodan-soto-uke,japanese-mismatch,Jodan Soto (Yoko) Uke,Jodan Soto (Yoko) Uke,上段外受け,外受け,High outside (side) block,Hoher Außenblock (seitlich),Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.blocks-content.terms.jodan-uchi-uke,japanese-mismatch,Jodan Uchi (Yoko) Uke,Jodan Uchi (Yoko) Uke,上段内受け,内受け,High inside (side) block,Hoher Innenblock (seitlich),Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.common-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform.,Trainingsuniform,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Spannung und Entspannung.,Empty fields: japanese
de,terminology.sections.general-terms-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform,Trainingsuniform,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.general-terms-content.terms.go-no-sen,japanese-mismatch,Go No Sen,Go No Sen,後の先,後の手,Taking initiative later,Spätere Initiative.,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.general-terms-content.terms.sen-no-sen,japanese-mismatch,Sen No Sen,Sen No Sen,先の先,先の手,Taking initiative,Initiative ergreifen.,Japanese/romanized term should usually remain stable across languages.
de,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Perfekte Ausführung.,Empty fields: japanese
de,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi,,,Heavy hands,Schwere Hände.,Empty fields: japanese
es,terminology.sections.blocks-content.terms.chudan-soto-uke,japanese-mismatch,Chudan Soto (Yoko) Uke,Chudan Soto (Yoko) Uke,中段外受け,外受け,Middle outside (side) block,Bloqueo externo medio,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.blocks-content.terms.chudan-uchi-uke,japanese-mismatch,Chudan Uchi Uke,Chudan Uchi Uke,中段内受け,内受け,Middle inside block,Bloqueo interno medio,Japanese/romanized term should usually remain stable across languages.
