language,file,key,issue_type,text,notes
da,about.json,about.pageTitle,same-as-english,About GojuPedia,Review whether this should be translated or intentionally kept as-is.
da,about.json,about.pageDescription,same-as-english,Background for this Goju-Ryu knowledge base,Review whether this should be translated or intentionally kept as-is.
da,about.json,about.mainDescription,same-as-english,"GojuPedia is intended as a practical knowledge base for Goju-Ryu karateka. The content is compiled from available sources and practice knowledge, with room for improvement when better information becomes available.",Review whether this should be translated or intentionally kept as-is.
da,about.json,about.vision.description,same-as-english,"The app aims to make terminology, kata, history, philosophy and training material accessible for students and instructors.",Review whether this should be translated or intentionally kept as-is.
da,about.json,about.values.authenticity.description,same-as-english,We try to stay close to the Goju-Ryu tradition and correct content when better information is available.,Review whether this should be translated or intentionally kept as-is.
da,about.json,about.values.community.description,same-as-english,"Feedback from practitioners helps make the content sharper, more complete and more useful.",Review whether this should be translated or intentionally kept as-is.
da,about.json,about.contact.email,same-as-english,Not configured yet,Review whether this should be translated or intentionally kept as-is.
it,about.json,about.pageTitle,same-as-english,About GojuPedia,Review whether this should be translated or intentionally kept as-is.
it,about.json,about.pageDescription,same-as-english,Background for this Goju-Ryu knowledge base,Review whether this should be translated or intentionally kept as-is.
it,about.json,about.mainDescription,same-as-english,"GojuPedia is intended as a practical knowledge base for Goju-Ryu karateka. The content is compiled from available sources and practice knowledge, with room for improvement when better information becomes available.",Review whether this should be translated or intentionally kept as-is.
it,about.json,about.vision.description,same-as-english,"The app aims to make terminology, kata, history, philosophy and training material accessible for students and instructors.",Review whether this should be translated or intentionally kept as-is.
it,about.json,about.values.authenticity.description,same-as-english,We try to stay close to the Goju-Ryu tradition and correct content when better information is available.,Review whether this should be translated or intentionally kept as-is.
it,about.json,about.values.community.description,same-as-english,"Feedback from practitioners helps make the content sharper, more complete and more useful.",Review whether this should be translated or intentionally kept as-is.
it,about.json,about.contact.email,same-as-english,Not configured yet,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.sections.examRequirements.description,same-as-english,Select a rank to view the specific requirements for that grading.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.title,same-as-english,IOGKF International Black Belt Grading Regulations,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.intro.title,same-as-english,1. Introduction,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.intro.text,same-as-english,The purpose of this update is to clarify and standardize the black belt grading system and rules among IOGKF member countries.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.perspective.title,same-as-english,2. Perspective on Dan Gradings,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.perspective.text,same-as-english,Dan grading awards is an indication of an individual’s progress in Karate-Do and only really relevant to oneself. The following three ‘pillars’ illustrates the holistic Budo environment of the Way of Karate-Do upon which development and progress is evaluated:,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.title,same-as-english,3.1 Childrens’ Black Belt Grades,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.text,same-as-english,Students under the age of 18 may also grade to black belt – it is the responsibility of the individual countries to set the standard for such a grading. It is common practice to split the junior dan grading into 3 or 4 categories.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.categories.kakyu,same-as-english,Ka-kyu shodan 10 – 13 years,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.categories.chukyu,same-as-english,Chu-kyu shodan 14 – 15 years,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.categories.jokyu,same-as-english,Jo-kyu shodan 16 – 17 years,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.registration,same-as-english,Regarding junior gradings (all gradings under 18 years) – it is important that the candidates are registered within the IOGKF system and that the appropriate grading fees are paid.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.junior.turning18,same-as-english,On becoming 18 years old – the student must grade to senior shodan on the same conditions and fulfilling requirements as everybody else.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.title,same-as-english,3.2 Senior Ranks,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.title,same-as-english,3.2.1 Sandan,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.text,same-as-english,"This is the first step into the ‘Senior’ or ‘Sensei’ hierarchy where certain character qualities should start becoming prevalent, therefore, the minimum time requirements are not merely enough, the candidate is expected to put something extra into their efforts. The following, more specific, considerations are relevant to sandan candidates:",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.points[0],same-as-english,More physical ability and technical ability than candidates for nidan.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.points[1],same-as-english,"A show of commitment to the organization, such as: Involvement and support at regional or national events.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.points[2],same-as-english,"Status - Instructor or assistant instructor - No person can really attempt sandan grade unless they have been teaching as well, even if only on an ad hoc basis.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.points[3],same-as-english,"Demonstrates loyalty to the organization, fellow members and the Chief Instructor.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.sandan.points[4],same-as-english,"Status amongst peers - how do their peers regard their abilities, personality, etc.?",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.yondan.title,same-as-english,3.2.2 Yondan,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.yondan.text,same-as-english,"Everything required for sandan one step up, plus, a greater sense of being involved in the organization. Physical ability and conditioning are important – they must be able to 'handle’ themselves, considering, of course, age.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.text,same-as-english,Senior black belt level with the following considerations:,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.points[0],same-as-english,"Have they earned the respect of senior instructors, junior and senior members of their dojo and country by their behaviour, both on and off the floor – proper attitude, unquestionable loyalty to the organization?",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.points[1],same-as-english,Do they have the maturity of character to accept criticism and to progress from it?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.points[2],same-as-english,Do they have an objective sense of judgement?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.points[3],same-as-english,Physical ability is important – are they able to 'handle’ themselves?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.godan.points[4],same-as-english,Do they self-train regularly?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.title,same-as-english,3.2.4 Rokudan,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.text,same-as-english,"Starting to move into the 'upper echelons' of the organization, nationally as well as internationally. Physical ability and conditioning are important – considering age, candidates should still be improving technically and physically and should be seen by everyone as a person who endeavours to embody the philosophy of karate-do. Rokudan is usually the minimum rank qualification for ‘Shihan’, given only by invitation of the Honbu grading panel, which means 'Role Model' – or ‘Professor’, in other words: Do juniors below them and seniors above them respect them apart from their physical abilities?",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.considerationsTitle,same-as-english,Other considerations for this level are:,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.points[0],same-as-english,Do they continue to promote traditional karate and embody loyalty to the Chief Instructor and the rest of the organization?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.points[1],same-as-english,Do they possess the leadership qualities: Do they lead by example?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.points[2],same-as-english,Do other members of the international karate society accept and/or respect their abilities?,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.points[3],same-as-english,What is their standing in the world outside karate? (Will people outside of the karate world have respected this person even if they did not have karate as a claim to ‘fame’?),Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.rokudan.points[4],same-as-english,Exhibit appropriate behaviour outside of the dojo.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.highranks.title,same-as-english,"3.2.5 Nanadan, hachidan and higher",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.senior.highranks.text,same-as-english,"Candidates are now becoming a manifestation of Okinawan Goju Ryu and have mastered most of the basic concepts, and although they are a senior master, they still remain as students of karate-do – metaphorically, this is equivalent to a Professor at university. They must attend chief instructor gasshuku on a regular basis. Candidates will be informed by the IOGKF executive committee 6 or 12 months before they are invited to test, during this time they must present themselves at a gasshuku given by anyone of the Honbu grading panel. These ranks are on an invitation basis only.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.honorary.title,same-as-english,3.3 Honorary Dan Grade,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.honorary.text,same-as-english,"At the discretion of the EC, an honorary dan grade may be awarded on an individual basis for the following reasons:",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.honorary.points[0],same-as-english,Contribution to the association,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.honorary.points[1],same-as-english,Promotion of the IOGKF,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.honorary.points[2],same-as-english,Where an individual has had to limit their training for reasons beyond their control.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.chiefInstructors.title,same-as-english,3.4 Chief Instructors – Kambukai – Representatives,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.chiefInstructors.text,same-as-english,"A Country Chief Instructor, Kambukai member or Representative needs permission from the EC for their grading and MUST grade under the appointed grading examiner.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.title,same-as-english,4. General Rules for Dan Gradings,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.admin.title,same-as-english,4.1 Administrative Requirements,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.admin.points[0],same-as-english,"Only members whose countries are current regarding country affiliations, can be tested and registered for IOGKF Dan rankings.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.admin.points[1],same-as-english,"Any country not paying IOGKF affiliation for a period of two years consecutively and/or a country chief instructor failing to attend three CI gasshukus consecutively, or any international gasshuku within the same period, will forfeit all grading mandates as defined herein.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.title,same-as-english,"4.2 Time, Gasshuku and Registration Fee requirements",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.definitions.title,same-as-english,4.2.1 Definitions of qualifying gasshuku,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.definitions.points[0],same-as-english,National. Any gasshuku organized by a national organization.,Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.definitions.points[1],same-as-english,"International. Any gasshuku of international status shall be conducted by Saiko Shihan, Shuseki Shihan, Fuku Shuseki Shihan or Gijutsu Komon (i.e. Budosai, European Gasshuku, or any special gasshuku defined by the EC)",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.definitions.note,same-as-english,"NOTE – Minimum time periods are based on the assumption of minimum training of 4 hours per week with a senior instructor. In the event of an instructor being of lower rank, the time period could be longer. Minimum time and minimum age criteria are both adhered to.",Review whether this should be translated or intentionally kept as-is.
da,graduations.json,graduations.regulations.generalRules.timeFee.factors.title,same-as-english,4.2.2 Factors that could influence time requirements,Review whether this should be translated or intentionally kept as-is.
